Time,Score,Team
0,0,NU
1,1,NU
2,1,NU
3,1,NU
4,2,NU
5,3,NU
6,3,NU
7,3,NU
8,3,NU
9,3,NU
10,4,NU
11,5,NU
12,6,NU
13,6,NU
14,6,NU
15,6,NU
16,6,NU
17,6,NU
18,6,NU
19,6,NU
20,6,NU
21,6,NU
22,6,NU
23,6,NU
24,6,NU
25,6,NU
26,6,NU
27,7,NU
28,7,NU
29,8,NU
30,8,NU
31,8,NU
32,9,NU
33,9,NU
34,9,NU
35,11,NU
36,11,NU
37,11,NU
38,11,NU
39,11,NU
40,12,NU
41,12,NU
42,12,NU
43,12,NU
44,12,NU
45,13,NU
46,13,NU
47,13,NU
48,13,NU
49,13,NU
50,14,NU
51,14,NU
52,14,NU
53,14,NU
54,14,NU
55,14,NU
56,14,NU
57,14,NU
58,14,NU
59,14,NU
60,14,NU
0,0,UNC
1,0,UNC
2,0,UNC
3,0,UNC
4,0,UNC
5,0,UNC
6,0,UNC
7,0,UNC
8,0,UNC
9,0,UNC
10,0,UNC
11,0,UNC
12,0,UNC
13,0,UNC
14,0,UNC
15,0,UNC
16,0,UNC
17,1,UNC
18,1,UNC
19,2,UNC
20,2,UNC
21,2,UNC
22,2,UNC
23,2,UNC
24,2,UNC
25,2,UNC
26,2,UNC
27,2,UNC
28,2,UNC
29,2,UNC
30,2,UNC
31,2,UNC
32,3,UNC
33,3,UNC
34,3,UNC
35,3,UNC
36,3,UNC
37,3,UNC
38,3,UNC
39,4,UNC
40,4,UNC
41,4,UNC
42,5,UNC
43,5,UNC
44,5,UNC
45,6,UNC
46,6,UNC
47,7,UNC
48,7,UNC
49,7,UNC
50,7,UNC
51,8,UNC
52,9,UNC
53,9,UNC
54,9,UNC
55,11,UNC
56,12,UNC
57,13,UNC
58,14,UNC
59,15,UNC
60,15,UNC
