Date,month,opponent,result,scores,runs
2/18/22,February,Seton Hall,W,14-3,11
2/19/22,February,Seton Hall,W,19-0,19
2/20/22,February,Seton Hall,W,7-3,4
2/22/22,February,Elon,W,5-1,4
2/25/22,February,East Carolina,W,7-4,3
2/26/22,February,East Carolina,W,2-0,2
2/27/22,February,at East Carolina,L,0-5,-5
3/1/22,March,Longwood,W,16-1,15
3/2/22,March,Winthrop,W,7-3,4
3/4/22,March,Coastal Carolina,W,4-3,1
3/5/22,March,Coastal Carolina,W,4-0,4
3/6/22,March,Coastal Carolina,W,4-3,1
3/8/22,March,at Liberty,L,0-1,-1
3/11/22,March,Pitt,W,7-4,3
3/12/22,March,Pitt,W,4-3,1
3/13/22,March,Pitt,W,9-2,7
3/15/22,March,VMI,W,5-1,4
3/18/22,March,at Duke,W,10-5,5
3/19/22,March,at Duke,L,3-9,-6
3/20/22,March,at Duke,W,4-1,3
3/22/22,March,Appalachain State,W,4-2,2
3/25/22,March,at Miami,L,5-8,-3
3/26/22,March,at Miami,L,3-7,-4
3/27/22,March,at Miami,L,2-3,-1
3/29/22,March,UNCW,W,6-4,2
4/1/22,April,Virginia Tech,L,1-12,-11
4/2/22,April,Virginia Tech,L,3-7,-4
4/3/22,April,Virginia Tech,W,10-6,4
4/6/22,April,vs. South Carolina,L,2-15,-13
4/8/22,April,at Louisville,W,13-9,4
4/9/22,April,at Louisville,L,8-9,-1
4/10/22,April,at Louisville,L,5-6,-1
4/12/22,April,NC A&T,L,6-7,-1
4/15/22,April,Georgia Tech,L,12-15,-3
4/16/22,April,Georgia Tech,W,10-5,5
4/17/22,April,Georgia Tech,L,8-11,-3
4/19/22,April,Campbell,W,7-4,3
4/22/22,April,at Virginia,L,2-4,-2
4/23/22,April,at Virginia,L,7-11,-4
4/24/22,April,at Virginia,L,3-10,-7
4/27/22,April,Liberty,W,8-1,7
5/3/22,May,Charlotte,W,4-3,1
5/6/22,May,at North Carolina State,W,8-7,1
5/8/22,May,at North Carolina State,L,2-9,-7
5/8/22,May,at North Carolina State,W,7-6,1
5/10/22,May,Gardner-Webb,W,12-5,7
5/11/22,May,Charleston Southern,W,12-1,11
5/13/22,May,Wake Forest,W,3-2,1
5/14/22,May,Wake Forest,W,12-3,9
5/15/22,May,Wake Forest,L,2-11,-9
5/19/22,May,Florida State,W,7-5,2
5/20/22,May,Florida State,W,10-4,6
5/21/22,May,Florida State,W,11-0,11
5/24/22,May,vs. Clemson,W,9-2,7
5/27/22,May,vs. Virginia Tech,W,10-0,10
5/28/22,May,vs. Notre Dame,W,7-2,5
5/29/22,May,vs. North Carolina State,W,,4
