Year,Date,,Schl,Rk.,,Opp,Rk.,,,PTS,OPP,MOV,,OT
2008-09,2008-11-30,,North Carolina,1,,UNC Asheville,,W,,116,48,68,,
2005-06,2005-11-22,,North Carolina,,,Cleveland State,,W,,112,55,57,,
2006-07,2006-11-19,,North Carolina,2,,Gardner-Webb,,W,,103,50,53,,
2006-07,2006-12-19,,North Carolina,2,,Florida Atlantic,,W,,105,52,53,,
2016-17,2017-01-08,,North Carolina,14,,NC State,,W,,107,56,51,,
2011-12,2011-12-19,,North Carolina,5,,Nicholls State,,W,,99,49,50,,
2018-19,2018-11-16,,North Carolina,7,,Tennessee Tech,,W,,108,58,50,,
2004-05,2004-12-12,,North Carolina,8,,Loyola (IL),,W,,109,60,49,,
2010-11,2011-01-02,,North Carolina,,,Saint Francis (PA),,W,,103,54,49,,
2011-12,2011-12-06,,North Carolina,4,,Evansville,,W,,97,48,49,,
2018-19,2018-11-09,,North Carolina,8,@,Elon,,W,,116,67,49,,
2009-10,2009-11-11,,North Carolina,6,,North Carolina Central,,W,,89,42,47,,
2007-08,2007-11-20,,North Carolina,1,,South Carolina State,,W,,110,64,46,,
2012-13,2012-11-19,,North Carolina,9,,Mississippi State,,W,,95,49,46,,
2005-06,2006-03-01,,North Carolina,13,,Virginia,,W,,99,54,45,,
2008-09,2008-11-24,,North Carolina,1,,Chaminade,,W,,115,70,45,,
2016-17,2016-12-04,,North Carolina,3,,Radford,,W,,95,50,45,,
2020-21,2021-02-20,,North Carolina,,,Louisville,,W,,99,54,45,,
2010-11,2010-11-18,,North Carolina,8,,Hofstra,,W,,107,63,44,,
2014-15,2014-11-16,,North Carolina,6,,Robert Morris,,W,,103,59,44,,
2014-15,2014-12-07,,North Carolina,12,,East Carolina,,W,,108,64,44,,
2004-05,2004-12-30,,North Carolina,4,,Cleveland State,,W,,107,64,43,,
2008-09,2009-03-19,,North Carolina,2,,Radford,,W,,101,58,43,,
2016-17,2016-11-21,,North Carolina,4,,Chaminade,,W,,104,61,43,,
2016-17,2016-12-21,,North Carolina,8,,Northern Iowa,,W,,85,42,43,,
2017-18,2017-12-06,,North Carolina,11,,Western Carolina,,W,,104,61,43,,
2005-06,2005-12-28,,North Carolina,23,,UNC Asheville,,W,,89,47,42,,
2012-13,2012-11-21,,North Carolina,9,@,Chaminade,,W,,112,70,42,,
2020-21,2021-03-10,,North Carolina,,,Notre Dame,,W,,101,59,42,,
2006-07,2007-01-31,,North Carolina,3,,Miami (FL),,W,,105,64,41,,
2016-17,2016-11-13,,North Carolina,6,,Chattanooga,,W,,97,57,40,,
2004-05,2005-01-02,,North Carolina,4,,William & Mary,,W,,105,66,39,,
2006-07,2006-12-28,,North Carolina,2,,Rutgers,,W,,87,48,39,,
2007-08,2008-02-16,,North Carolina,5,,Virginia Tech,,W,,92,53,39,,
2007-08,2008-03-21,,North Carolina,1,,Mount St. Mary's,,W,,113,74,39,,
2009-10,2009-12-12,,North Carolina,11,,Presbyterian,,W,,103,64,39,,
2016-17,2017-03-17,,North Carolina,6,,Texas Southern,,W,,103,64,39,,
2001-02,2001-12-27,,North Carolina,,,North Carolina A&T,,W,,104,66,38,,
2006-07,2007-01-03,,North Carolina,2,,Pennsylvania,,W,,102,64,38,,
2008-09,2009-01-07,,North Carolina,3,,College of Charleston,,W,,108,70,38,,
2011-12,2011-12-29,,North Carolina,5,,Elon,,W,,100,62,38,,
2018-19,2019-02-16,,North Carolina,8,@,Wake Forest,,W,,95,57,38,,
2006-07,2007-02-10,,North Carolina,5,,Wake Forest,,W,,104,67,37,,
2009-10,2009-12-22,,North Carolina,10,,Marshall,,W,,98,61,37,,
