Year,Date,,Schl,Rk.,,Opp,Rk.,,,PTS,OPP,MOV,,OT
2004-05,3/18/05,,North Carolina,2,,Oakland,,W,,96,68,28,,
2004-05,3/20/05,,North Carolina,2,,Iowa State,,W,,92,65,27,,
2004-05,4/2/05,,North Carolina,2,,Michigan State,15,W,,87,71,16,,
2004-05,3/27/05,,North Carolina,2,,Wisconsin,20,W,,88,82,6,,
2004-05,4/4/05,,North Carolina,2,,Illinois,1,W,,75,70,5,,
2004-05,3/25/05,,North Carolina,2,,Villanova,19,W,,67,66,1,,
2007-08,3/21/08,,North Carolina,1,,Mount St. Mary's,,W,,113,74,39,,
2007-08,3/23/08,,North Carolina,1,,Arkansas,,W,,108,77,31,,
2007-08,3/27/08,,North Carolina,1,,Washington State,21,W,,68,47,21,,
2007-08,3/29/08,,North Carolina,1,,Louisville,13,W,,83,73,10,,
2007-08,4/5/08,,North Carolina,1,,Kansas,4,L,,66,84,-18,,
2008-09,3/19/09,,North Carolina,2,,Radford,,W,,101,58,43,,
2008-09,3/27/09,,North Carolina,2,,Gonzaga,10,W,,98,77,21,,
2008-09,4/6/09,,North Carolina,2,,Michigan State,8,W,,89,72,17,,
2008-09,3/21/09,,North Carolina,2,,Louisiana State,21,W,,84,70,14,,
2008-09,4/4/09,,North Carolina,2,,Villanova,11,W,,83,69,14,,
2008-09,3/29/09,,North Carolina,2,,Oklahoma,7,W,,72,60,12,,
2015-16,3/19/16,,North Carolina,3,,Providence,,W,,85,66,19,,
2015-16,4/2/16,,North Carolina,3,,Syracuse,,W,,83,66,17,,
2015-16,3/17/16,,North Carolina,3,,Florida Gulf Coast,,W,,83,67,16,,
2015-16,3/25/16,,North Carolina,3,,Indiana,14,W,,101,86,15,,
2015-16,3/27/16,,North Carolina,3,,Notre Dame,,W,,88,74,14,,
2015-16,4/4/16,,North Carolina,3,,Villanova,6,L,,74,77,-3,,
2016-17,3/17/17,,North Carolina,6,,Texas Southern,,W,,103,64,39,,
2016-17,3/24/17,,North Carolina,6,,Butler,21,W,,92,80,12,,
2016-17,3/19/17,,North Carolina,6,,Arkansas,,W,,72,65,7,,
2016-17,4/3/17,,North Carolina,6,,Gonzaga,2,W,,71,65,6,,
2016-17,3/26/17,,North Carolina,6,,Kentucky,5,W,,75,73,2,,
2016-17,4/1/17,,North Carolina,6,,Oregon,9,W,,77,76,1,,
2021-22,3/17/22,,North Carolina,,,Marquette,,W,,95,63,32,,
2021-22,3/27/22,,North Carolina,,,Saint Peter's,,W,,69,49,20,,
2021-22,3/19/22,,North Carolina,,,Baylor,4,W,,93,86,7,,1
2021-22,3/25/22,,North Carolina,,,UCLA,11,W,,73,66,7,,
2021-22,4/2/22,,North Carolina,,,Duke,9,W,,81,77,4,,
2021-22,4/4/22,,North Carolina,,,Kansas,3,L,,69,72,-3,,
