Month,Opponent,W/L,GS,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,SBA,CS,HBP,SH,SF,GDP,K,AVG
February,Seton Hall,W,1,4,4,3,4,0,0,2,1,0,1,1,0,0,0,0,0,0,0.75
February,Seton Hall,W,1,3,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0.571
February,Seton Hall,W,1,3,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,2,0.4
February,Elon,W,1,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.462
February,East Carolina,W,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.412
February,East Carolina,W,1,3,1,2,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0.45
February,at East Carolina,L,1,3,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0.435
March,Longwood,W,1,2,3,1,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0.44
March,Winthrop,W,1,4,2,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0.414
March,Coastal Carolina,W,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.382
March,Coastal Carolina,W,1,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0.351
March,Coastal Carolina,W,1,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0.31
March,at Liberty,L,1,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0.304
March,Pittsburgh,W,1,4,3,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0.3
March,Pittsburgh,W,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.291
March,Pittsburgh,W,1,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.3
March,VMI,W,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.286
March,at Duke,W,1,5,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.294
March,at Duke,L,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.292
March,at Duke,W,1,4,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0.303
March,Appalachian State,W,1,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0.308
March,at Miami (FL),L,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.289
March,at Miami (FL),L,1,4,2,1,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0.287
March,at Miami,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.269
March,UNCW,W,1,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.265
April,Virginia Tech,L,1,5,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.272
April,Virginia Tech,L,1,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0.269
April,Virginia Tech,W,1,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0.268
April,vs South Carolina,L,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.259
April,at Louisville,W,1,3,3,1,0,0,1,0,2,0,1,1,0,1,0,0,0,1,0.261
April,at Louisville,L,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0.25
April,at Louisville,L,1,6,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0.254
April,N.C. A&T,L,1,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0.252
April,Georgia Tech,L,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.243
April,Georgia Tech,W,1,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
April,Georgia Tech,L,1,3,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0.259
April,Campbell,W,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.253
April,at Virginia,L,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.248
April,at Virginia,L,1,5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0.253
April,at Virginia,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.248
April,Liberty,W,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.248
May,Charlotte,W,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.254
May,at NC State,W,1,3,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0.256
May,at NC State,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.251
May,at NC State,W,1,3,2,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0.258
May,Gardner-Webb,W,1,5,3,4,2,0,1,1,0,0,3,3,0,0,0,0,0,1,0.273
May,Charleston Southern,W,1,4,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0.278
