Rk,School,Date,G#,,Opponent,Result,TD,Pts,Diff
1,North Carolina,9/29/12,5,,Idaho,W,9,66,66
2,North Carolina,9/1/12,1,,Elon,W,8,62,62
3,North Carolina,11/23/13,10,,Old Dominion,W,11,80,60
4,North Carolina,11/18/17,11,,Western Carolina,W,9,65,55
5,North Carolina,11/23/19,11,,Mercer,W,8,56,49
6,North Carolina,12/27/19,13,N,Temple,W,7,55,42
7,North Carolina,9/11/21,0,,Georgia State,W,8,59,42
8,North Carolina,12/5/20,10,,Western Carolina,W,7,49,40
9,North Carolina,9/12/15,2,,North Carolina A&T,W,7,53,39
10,North Carolina,11/18/00,11,@,Duke,W,8,59,38
11,North Carolina,11/14/15,10,,Miami (FL),W,8,59,38
12,North Carolina,10/17/15,6,,Wake Forest,W,7,50,36
13,North Carolina,12/12/20,11,@,Miami (FL),W,8,62,36
14,North Carolina,10/20/01,8,@,Clemson,W,5,38,35
15,North Carolina,11/17/01,11,,Duke,W,7,52,35
16,North Carolina,11/7/15,9,,Duke,W,9,66,35
17,North Carolina,9/5/09,1,,Citadel,W,5,40,34
18,North Carolina,10/16/10,6,@,Virginia,W,5,44,34
19,North Carolina,9/19/15,3,,Illinois,W,6,48,34
20,North Carolina,11/19/16,11,,Citadel,W,5,41,34
21,North Carolina,9/22/01,4,,Florida State,W,5,41,32
22,North Carolina,9/11/08,2,@,Rutgers,W,5,44,32
23,North Carolina,9/3/11,1,,James Madison,W,6,42,32
24,North Carolina,11/7/20,7,@,Duke,W,8,56,32
25,North Carolina,11/9/13,9,,Virginia,W,6,45,31
26,North Carolina,11/30/19,12,@,North Carolina State,W,5,41,31
27,North Carolina,10/2/21,0,,Duke,W,5,38,31
28,North Carolina,10/10/09,6,,Georgia Southern,W,6,42,30
29,North Carolina,9/16/17,3,@,Old Dominion,W,7,53,30
30,North Carolina,9/17/16,3,,James Madison,W,8,56,28
31,North Carolina,11/5/16,9,,Georgia Tech,W,6,48,28
32,North Carolina,8/30/14,1,,Liberty,W,8,56,27
33,North Carolina,9/26/15,4,,Delaware,W,5,41,27
34,North Carolina,10/24/20,5,,North Carolina State,W,6,48,27
35,North Carolina,10/4/08,5,,Connecticut,W,5,38,26
36,North Carolina,10/2/10,4,,East Carolina,W,6,42,25
37,North Carolina,10/29/11,9,,Wake Forest,W,7,49,25
38,North Carolina,11/20/14,11,@,Duke,W,6,45,25
39,North Carolina,9/10/16,2,@,Illinois,W,6,48,25
40,North Carolina,9/12/20,1,,Syracuse,W,4,31,25
41,North Carolina,11/15/12,11,@,Virginia,W,5,37,24
42,North Carolina,10/26/13,7,,Boston College,W,5,34,24
43,North Carolina,11/20/04,11,@,Duke,W,5,40,23
44,North Carolina,9/1/07,1,,James Madison,W,5,37,23
45,North Carolina,11/17/18,10,,Western Carolina,W,7,49,23
46,North Carolina,12/28/13,13,N,Cincinnati,W,5,39,22
47,North Carolina,9/2/00,1,,Tulsa,W,3,30,21
48,North Carolina,9/9/00,2,@,Wake Forest,W,4,35,21
49,North Carolina,9/18/04,3,,Georgia Tech,W,5,34,21
50,North Carolina,10/25/08,8,,Boston College,W,6,45,21
51,North Carolina,11/8/08,9,,Georgia Tech,W,4,28,21
52,North Carolina,9/22/12,4,,East Carolina,W,3,27,21
53,North Carolina,10/22/16,8,@,Virginia,W,5,35,21
54,North Carolina,9/7/13,2,,Middle Tennessee State,W,5,40,20
55,North Carolina,9/18/21,0,,Virginia,W,8,59,20
56,North Carolina,11/20/21,0,,Wofford,W,4,34,20
57,North Carolina,11/21/09,11,@,Boston College,W,4,31,18
58,North Carolina,11/26/11,12,,Duke,W,4,37,16
59,North Carolina,10/5/19,6,@,Georgia Tech,W,5,38,16
60,North Carolina,10/1/11,5,@,East Carolina,W,5,35,15
61,North Carolina,10/1/05,4,,Utah,W,4,31,14
62,North Carolina,11/18/06,11,,North Carolina State,W,2,23,14
63,North Carolina,9/19/09,3,,East Carolina,W,4,31,14
64,North Carolina,10/6/12,6,,Virginia Tech,W,6,48,14
65,North Carolina,11/7/09,9,,Duke,W,1,19,13
66,North Carolina,10/24/15,7,,Virginia,W,3,26,13
67,North Carolina,10/11/03,6,@,East Carolina,W,4,28,11
68,North Carolina,9/4/04,1,,William & Mary,W,7,49,11
69,North Carolina,9/17/11,3,,Virginia,W,4,28,11
70,North Carolina,11/28/15,12,@,North Carolina State,W,6,45,11
71,North Carolina,10/10/20,3,,Virginia Tech,W,8,56,11
72,North Carolina,12/1/01,12,,Southern Methodist,W,2,19,9
73,North Carolina,11/14/09,10,,Miami (FL),W,3,33,9
74,North Carolina,9/29/01,5,@,North Carolina State,W,2,17,8
75,North Carolina,9/7/02,2,@,Syracuse,W,3,30,8
76,North Carolina,11/8/03,10,,Wake Forest,W,5,42,8
77,North Carolina,8/30/08,1,,McNeese State,W,5,35,8
78,North Carolina,11/29/08,12,@,Duke,W,4,28,8
79,North Carolina,10/27/12,9,,North Carolina State,W,5,43,8
80,North Carolina,11/2/13,8,@,North Carolina State,W,4,27,8
81,North Carolina,11/13/04,10,@,Wake Forest,W,4,31,7
82,North Carolina,9/24/05,3,@,North Carolina State,W,4,31,7
83,North Carolina,10/8/11,6,,Louisville,W,2,14,7
84,North Carolina,11/24/12,12,,Maryland,W,6,45,7
85,North Carolina,11/16/13,10,@,Pittsburgh,W,4,34,7
86,North Carolina,10/3/15,5,@,Georgia Tech,W,5,38,7
87,North Carolina,10/29/15,8,@,Pittsburgh,W,2,26,7
88,North Carolina,10/15/16,7,@,Miami (FL),W,2,20,7
89,North Carolina,10/13/01,7,,Virginia,W,3,30,6
90,North Carolina,10/9/04,6,,North Carolina State,W,3,30,6
91,North Carolina,10/6/07,6,,Miami (FL),W,3,33,6
92,North Carolina,11/24/07,12,,Duke,W,3,20,6
93,North Carolina,11/14/20,8,,Wake Forest,W,8,59,6
94,North Carolina,9/23/00,4,,Marshall,W,2,20,5
95,North Carolina,10/11/08,6,,Notre Dame,W,3,29,5
96,North Carolina,10/9/10,5,,Clemson,W,3,21,5
97,North Carolina,11/27/10,12,@,Duke,W,3,24,5
98,North Carolina,10/18/14,7,,Georgia Tech,W,7,48,5
99,North Carolina,11/15/14,10,,Pittsburgh,W,6,40,5
100,North Carolina,9/27/08,4,@,Miami (FL),W,4,28,4
101,North Carolina,9/25/10,3,@,Rutgers,W,2,17,4
102,North Carolina,10/30/10,8,,William & Mary,W,3,21,4
103,North Carolina,10/13/12,7,@,Miami (FL),W,2,18,4
104,North Carolina,9/6/14,2,,San Diego State,W,4,31,4
105,North Carolina,8/31/19,1,N,South Carolina,W,2,24,4
106,North Carolina,10/3/20,2,@,Boston College,W,3,26,4
107,North Carolina,11/4/00,9,@,Pittsburgh,W,2,20,3
108,North Carolina,11/11/00,10,,Maryland,W,1,13,3
109,North Carolina,10/6/01,6,,East Carolina,W,3,24,3
110,North Carolina,10/5/02,5,@,Arizona State,W,5,38,3
111,North Carolina,10/30/04,8,,Miami (FL),W,4,31,3
112,North Carolina,11/19/05,10,,Duke,W,3,24,3
113,North Carolina,9/16/06,3,,Furman,W,6,45,3
114,North Carolina,11/3/07,9,,Maryland,W,1,16,3
115,North Carolina,10/29/09,8,@,Virginia Tech,W,2,20,3
116,North Carolina,12/30/10,13,N,Tennessee,W,3,30,3
117,North Carolina,11/21/15,11,@,Virginia Tech,W,4,30,3
118,North Carolina,11/9/17,10,@,Pittsburgh,W,4,34,3
119,North Carolina,9/22/18,3,,Pittsburgh,W,5,38,3
120,North Carolina,9/7/19,2,,Miami (FL),W,3,28,3
121,North Carolina,10/26/19,8,,Duke,W,2,20,3
122,North Carolina,10/16/21,0,,Miami (FL),W,6,45,3
123,North Carolina,11/6/21,0,,Wake Forest,W,7,58,3
124,North Carolina,11/23/02,12,@,Duke,W,3,23,2
125,North Carolina,10/22/05,6,,Virginia,W,1,7,2
126,North Carolina,11/5/05,8,,Boston College,W,1,16,2
127,North Carolina,9/12/09,2,@,Connecticut,W,1,12,2
128,North Carolina,11/6/10,9,@,Florida State,W,4,37,2
129,North Carolina,9/10/11,2,,Rutgers,W,3,24,2
130,North Carolina,10/1/16,5,@,Florida State,W,5,37,2
131,North Carolina,11/25/06,12,@,Duke,W,6,45,1
132,North Carolina,10/25/14,8,@,Virginia,W,4,28,1
133,North Carolina,9/24/16,4,,Pittsburgh,W,5,37,1
134,North Carolina,11/10/01,10,,Wake Forest,L,4,31,-1
135,North Carolina,12/27/08,13,N,West Virginia,L,4,30,-1
136,North Carolina,11/28/09,12,@,North Carolina State,L,3,27,-1
137,North Carolina,9/8/12,2,@,Wake Forest,L,3,27,-1
138,North Carolina,11/10/16,10,@,Duke,L,3,27,-1
139,North Carolina,9/28/19,5,,Clemson,L,3,20,-1
140,North Carolina,9/6/03,2,,Syracuse,L,6,47,-2
141,North Carolina,10/18/03,7,,Arizona State,L,4,31,-2
142,North Carolina,9/15/07,3,,Virginia,L,3,20,-2
143,North Carolina,11/17/07,11,@,Georgia Tech,L,2,25,-2
144,North Carolina,11/15/08,10,@,Maryland,L,1,15,-2
145,North Carolina,12/26/09,13,N,Pittsburgh,L,2,17,-2
146,North Carolina,11/30/13,12,,Duke,L,3,25,-2
147,North Carolina,12/30/16,13,N,Stanford,L,3,23,-2
148,North Carolina,10/19/19,7,@,Virginia Tech,L,5,41,-2
149,North Carolina,11/6/04,9,,Virginia Tech,L,3,24,-3
150,North Carolina,11/12/05,9,,Maryland,L,3,30,-3
151,North Carolina,9/8/07,2,@,East Carolina,L,4,31,-3
152,North Carolina,9/20/08,3,,Virginia Tech,L,2,17,-3
153,North Carolina,10/18/08,7,@,Virginia,L,1,13,-3
154,North Carolina,10/22/09,7,,Florida State,L,3,27,-3
155,North Carolina,11/17/11,11,@,Virginia Tech,L,3,21,-3
156,North Carolina,10/20/12,8,@,Duke,L,3,30,-3
157,North Carolina,10/13/18,5,,Virginia Tech,L,1,19,-3
158,North Carolina,10/20/18,6,@,Syracuse,L,4,37,-3
159,North Carolina,9/21/19,4,,Appalachian State,L,4,31,-3
160,North Carolina,10/17/20,4,@,Florida State,L,4,28,-3
161,North Carolina,10/31/20,6,@,Virginia,L,5,41,-3
162,North Carolina,11/10/07,10,@,North Carolina State,L,3,27,-4
163,North Carolina,11/20/10,11,,North Carolina State,L,2,25,-4
164,North Carolina,10/17/13,6,,Miami (FL),L,2,23,-4
