Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
6,North Carolina,ACC,FBS,1087.25,9,64,37,33.5,5,72.75,1,100,0,0,0,0,0,0,3,83,9,64,37,35.5,68,x,0,0,0,0,0,0,452.75,364,270.5
8,Notre Dame,ACC,FBS,1021,5,78,0,0,49,x,17,25,0,0,0,0,33,37.5,0,0,33,25,0,0,30,41.5,0,0,0,0,0,0,207,454,360
11,Virginia,ACC,FBS,942.5,33,37.5,15,60,31,39.5,9,53,5,70,9,63,0,0,5,73,1,100,41,31.5,14,61.5,0,0,0,0,0,0,589,236.5,117
14,Florida State,ACC,FBS,910,33,37.5,5,72.75,21,52.5,0,0,0,0,0,0,17,50,17,50,9,64,25,47,4,80,0,0,0,0,2,90,543.75,107.25,259
17,North Carolina State,ACC,FBS,870,0,0,45,27.5,67,5,0,0,0,0,0,0,0,0,5,73,9,64,17,56.5,0,0,0,0,0,0,0,0,226,410,234
21,Duke,ACC,FBS,849.5,0,0,26,46,43,28.5,9,53,0,0,16,42,9,64,3,83,17,50,21,52.5,0,0,0,0,0,0,0,0,419,293.5,137
33,Virginia Tech,ACC,FBS,688.25,9,64,26,46,0,0,0,0,0,0,0,0,9,64,0,0,0,0,17,56.5,0,0,0,0,0,0,0,0,230.5,332.75,125
34,Louisville,ACC,FBS,663.5,9,64,37,33.5,39,33.5,0,0,0,0,0,0,0,0,0,0,33,25,25,47,64,8.5,0,0,0,0,0,0,211.5,266,186
45,Wake Forest,ACC,FBS,530,33,37.5,16,58.5,19,54.5,0,0,0,0,0,0,0,0,17,50,9,64,0,0,50,22.5,0,0,0,0,0,0,287,0,243
50,Miami (FL),ACC,FBS,516,33,37.5,26,46,0,0,0,0,0,0,0,0,0,0,9,64,17,50,57,15,50,22.5,0,0,0,0,0,0,235,226,55
65,Clemson,ACC,FBS,357.5,0,0,37,33.5,31,39.5,0,0,0,0,0,0,9,64,0,0,0,0,0,0,36,37,0,0,0,0,0,0,174,0,183.5
68,Georgia Tech,ACC,FBS,352.25,17,50,0,0,12,63.75,0,0,0,0,0,0,33,37.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,201.25,78,73
72,Syracuse,ACC,FBS,304,0,0,0,0,0,0,5,70,0,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,25,169
73,Pittsburgh,ACC,FBS,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,248
109,Boston College,ACC,FBS,165,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,70,5
82,Vermont,America East,DI,243,0,0,0,0,0,0,17,25,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,115,50
126,New Hampshire,America East,FCS,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,64
187,Binghamton,America East,DI,83.5,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21.5,0,0,0,0,0,0,0,0,46.5,37,0
209,Stony Brook,America East,FCS,70,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
229,UMBC,America East,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
256,NJIT,America East,DI,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
266,Albany,America East,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
266,Maine,America East,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
266,Massachusetts Lowell,America East,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
69,UCF,American,FBS,350.5,0,0,61,10.5,49,22,0,0,0,0,0,0,9,64,17,50,0,0,57,15,0,0,0,0,0,0,0,0,161.5,94,95
87,Tulsa,American,FBS,220.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,59,13,0,0,0,0,0,0,38,0,182.5
89,SMU,American,FBS,209.5,0,0,0,0,31,39.5,0,0,0,0,12,54,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,118.5,36,55
97,Memphis,American,FBS,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,50,87,55
99,Houston,American,FBS,189,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,54,0,0,0,0,0,0,59,73,57
112,South Florida,American,FBS,158.5,0,0,0,0,28,46,0,0,0,0,0,0,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0,108.5,25,25
139,Cincinnati,American,FBS,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,80
195,East Carolina,American,FBS,77.5,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8.5,0,0,0,0,0,0,0,0,72.5,0,5
203,Wichita State,American,DI,74.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,36,37,0,0,0,0,0,0,74.5,0,0
254,Temple,American,FBS,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
292,Tulane,American,FBS,22.5,0,0,49,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0
74,Liberty,ASUN,FBS,297.5,49,25,0,0,26,48,0,0,0,0,0,0,33,37.5,0,0,33,25,0,0,0,0,0,0,0,0,0,0,135.5,0,162
124,Kennesaw State,ASUN,FCS,138.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0,65,20.5,53
