Player,Rank,Year,Jersey
Tyler Hansbrough,1,2009,Retired
Phil Ford,2,1978,Retired
Lennie Rosenbluth,3,1957,Retired
Michael Jordan,4,1984,Retired
Antawn Jamison,5,1998,Retired
Charles Scott,6,1970,Honored
Billy Cunningham,7,1965,Honored
Larry Miller,8,1968,Honored
Sam Perkins,9,1984,Honored
James Worthy,10,1982,Retired
Ty Lawson,11,2009,Honored
Bobby Lewis,12,1967,Honored
Al Wood,13,1981,Honored
Brad Daugherty,14,1986,Honored
Pete Brennan ,15,1958,Honored
Sean May,16,2005,Honored
Bobby Jones,17,1974,Honored
Mitch Kupchak,18,1976,Honored
Kenny Smith,19,1987,Honored
Walter Davis,20,1977,Honored
Mike O'Koren,21,1980,Honored
George Lynch,22,1993,Honored
Dennis Wuycik,23,1972,Honored
York Larese,24,1961,Honored
Brice Johnson,25,2016,Honored
Jerry Stackhouse,26,1995,Honored
Eric Montross,27,1994,Honored
Rasheed Wallace,28,1995,Honored
Joel Berry ,29,2018,Honored
Marcus Paige,30,2017,Honored
Raymond Felton,31,2005,Honored
Joe Forte,32,2001,Honored
Doug Moe,33,1961,Honored
Vince Carter,34,1998,Honored
Tyler Zeller,35,2012,Honored
Justin Jackson,36,2017,Honored
Rick Fox,37,1991,None
Rashad McCants,38,2005,Honored
Armando Bacot,39,2022,None
JR Reid,40,1989,Honored
Bob McAdoo,41,1972,Honored
Hubert Davis,42,1992,None
Lee Shaffer,43,1960,Honored
George Karl,44,1973,None
Derrick Phelps,45,1994,None
Ed Cota,46,2000,None
Wayne Ellington,47,2009,Honored
Shammond Williams,48,1998,None
Rusty Clark,49,1969,None
Tommy Kearns,50,1958,Honored
Brendan Haywood,51,2001,Honored
Luke Maye ,52,2019,None
Donald Williams,53,1995,Honored
Jeff Lebo,54,1989,None
Larry Brown,55,1963,Honored
Bill Chamberlin,56,1972,Honored
Bill Bunting,57,1969,None
Kennedy Meeks,58,2017,None
Tommy LaGarde,59,1977,Honored
Danny Green,60,2009,None
Cameron Johnson,61,2019,None
Joe Wolf,62,1987,None
Dick Grubar,63,1969,None
Jeff McInnis,64,1996,None
Steve Hale,65,1986,None
Darrell Elston,66,1974,None
Jimmy Black,67,1982,None
Scott Williams,68,1990,None
Pete Chulcutt,69,1991,None
John Henson,70,2012,None
Matt Doherty,71,1984,None
Jawad Williams,72,2005,None
Ademola Okulaja,73,1999,None
Jason Capel,74,2002,None
Steve Bucknall,75,1989,None
Theo Pinson,76,2018,None
Kevin Madden,77,1990,None
King Rice,78,1991,None
Kendall Marshall,79,2012,None
Ed Davis,80,2010,None
Brandan Wright,81,2007,None
Coby White,82,2019,None
Isaiah Hicks,83,2017,None
Lee Dedmon,84,1971,None
Brian Reese,85,1994,None
Deon Thompson,86,2010,None
Joe Quigg,87,1957,None
Dante Calabria,88,1996,None
Harrison Barnes,89,2012,Honored
Jerry Vayda,90,1956,None
John Kuester,91,1977,None
Reggie Bullock,92,2013,None
Garrison Brooks,93,2021,None
Serge Zwikker,94,1997,None
Marvin Williams,95,2005,None
Dudley Bradley,96,1979,None
Brady Manek,97,2022,None
David Noel,98,2006,None
James Michael McAdoo,99,2014,None
Kenny Williams,100,2019,None
