Season,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,11/19/05,UNC,,Gardner-Webb,REG,W,1,28,9,12,0.75,9,12,0.75,0,0,,3,4,0.75,1,3,4,1,0,0,2,2,21
2005-06,11/22/05,UNC,,Cleveland State,REG,W,1,20,4,5,0.8,4,5,0.8,0,0,,10,15,0.667,2,6,8,0,3,1,2,1,18
2005-06,,,,Sanata Barbara,,,,,,,,,,,,,,,,,,,,,,,,,15
2005-06,,,,Illionois,,,,,,,,,,,,,,,,,,,,,,,,,17
2005-06,12/3/05,UNC,@,Kentucky,REG,W,1,33,1,5,0.2,1,5,0.2,0,0,,4,7,0.571,2,8,10,2,0,1,1,3,6
2005-06,12/7/05,UNC,,Saint Louis,REG,W,1,33,9,12,0.75,9,12,0.75,0,0,,3,5,0.6,3,3,6,0,0,0,1,1,21
2005-06,,,,Sanata Clara,,,,,,,,,,,,,,,,,,,,,,,,,14
2005-06,12/21/05,UNC,@,USC,REG,L,1,32,6,7,0.857,6,7,0.857,0,0,,4,6,0.667,0,8,8,0,0,0,3,4,16
2005-06,12/28/05,UNC,,UNC Asheville,REG,W,1,24,5,10,0.5,5,10,0.5,0,0,,4,5,0.8,1,5,6,1,8,2,5,1,14
2005-06,1/3/06,UNC,,Davidson,REG,W,1,24,7,13,0.538,7,13,0.538,0,0,,9,11,0.818,5,3,8,2,0,1,4,4,23
2005-06,,,,NC State,,,,,,,,,,,,,,,,,,,,,,,,,20
2005-06,,,,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,20
2005-06,1/14/06,UNC,,Miami (FL),REG,L,1,32,6,10,0.6,6,10,0.6,0,0,,13,14,0.929,3,4,7,0,0,2,0,4,25
2005-06,1/19/06,UNC,@,Virginia,REG,L,1,34,7,14,0.5,7,14,0.5,0,0,,4,8,0.5,6,4,10,1,0,0,4,2,18
2005-06,1/22/06,UNC,@,Florida State,REG,W,1,29,6,11,0.545,6,11,0.545,0,0,,3,4,0.75,5,2,7,1,0,1,3,4,15
2005-06,1/25/06,UNC,,Boston College,REG,L,1,27,9,13,0.692,8,12,0.667,1,1,1,7,9,0.778,3,5,8,2,1,0,2,5,26
2005-06,,,,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,21
2005-06,2/2/06,UNC,@,Maryland,REG,W,1,30,7,11,0.636,7,11,0.636,0,0,,1,1,1,5,3,8,3,2,1,8,4,15
2005-06,,,,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,14
2005-06,2/7/06,UNC,,Duke,REG,L,1,33,4,11,0.364,4,11,0.364,0,0,,6,9,0.667,6,3,9,0,3,1,4,2,14
2005-06,2/12/06,UNC,@,Miami (FL),REG,W,1,35,11,17,0.647,11,16,0.688,0,1,0,3,5,0.6,5,2,7,0,0,2,3,2,25
2005-06,2/15/06,UNC,,Georgia Tech,REG,W,1,32,13,17,0.765,13,17,0.765,0,0,,14,19,0.737,6,4,10,1,1,0,1,4,40
2005-06,2/19/06,UNC,@,Wake Forest,REG,W,1,32,6,11,0.545,6,11,0.545,0,0,,5,7,0.714,2,4,6,1,1,0,0,3,17
2005-06,,,,NC State,,,,,,,,,,,,,,,,,,,,,,,,,17
2005-06,2/26/06,UNC,,Maryland,REG,W,1,27,8,18,0.444,8,18,0.444,0,0,,5,8,0.625,1,6,7,1,2,0,2,3,21
2005-06,3/1/06,UNC,,Virginia,REG,W,0,27,5,10,0.5,5,10,0.5,0,0,,3,4,0.75,3,5,8,2,1,2,2,1,13
2005-06,3/4/06,UNC,@,Duke,REG,W,1,37,9,17,0.529,8,16,0.5,1,1,1,8,9,0.889,3,7,10,0,1,2,2,4,27
2005-06,3/10/06,UNC,,Virginia,CTOURN,W,1,35,5,10,0.5,5,10,0.5,0,0,,7,12,0.583,0,8,8,1,2,2,2,2,17
2005-06,3/11/06,UNC,,Boston College,CTOURN,L,1,35,8,15,0.533,8,15,0.533,0,0,,7,11,0.636,8,3,11,3,2,0,1,4,23
2005-06,3/17/06,UNC,N,Murray State,NCAA,W,1,31,8,14,0.571,8,14,0.571,0,0,,8,10,0.8,4,5,9,2,3,0,4,3,24
2005-06,3/19/06,UNC,N,George Mason,NCAA,L,1,33,5,13,0.385,5,12,0.417,0,1,0,0,0,,4,5,9,2,0,0,3,4,10
2006-07,11/14/06,UNC,N,Sacred Heart,REG,W,1,27,11,14,0.786,11,14,0.786,0,0,,7,12,0.583,4,5,9,2,2,0,1,3,29
2006-07,11/15/06,UNC,N,Winthrop,REG,W,1,33,9,13,0.692,9,13,0.692,0,0,,2,3,0.667,5,5,10,2,3,0,3,1,20
2006-07,,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,9
2006-07,11/19/06,UNC,,Gardner-Webb,REG,W,1,25,4,10,0.4,4,9,0.444,0,1,0,10,11,0.909,3,4,7,1,0,0,1,1,18
2006-07,11/24/06,UNC,N,Tennessee,REG,W,1,29,8,17,0.471,8,17,0.471,0,0,,11,15,0.733,4,5,9,6,1,0,1,3,27
2006-07,11/29/06,UNC,,Ohio State,REG,W,1,31,8,16,0.5,8,16,0.5,0,0,,5,7,0.714,5,9,14,2,1,2,0,0,21
2006-07,12/2/06,UNC,,Kentucky,REG,W,1,30,2,10,0.2,2,10,0.2,0,0,,3,6,0.5,1,2,3,1,2,0,1,3,7
2006-07,12/9/06,UNC,,High Point,REG,W,1,27,9,11,0.818,8,10,0.8,1,1,1,5,5,1,2,3,5,2,1,1,3,1,24
2006-07,12/16/06,UNC,,UNC Asheville,REG,W,1,27,5,12,0.417,5,12,0.417,0,0,,5,6,0.833,4,3,7,2,2,0,3,3,15
