team,div,W,L,win_div,win_ conf,overall_w,overall_l
Clemson,Atlantic,6,0,99.8,82.3,8,0
Syracuse,Atlantic,3,1,0.2,0.1,6,1
Wake Forest,Atlantic,2,1,0.1,0,6,1
Florida State,Atlantic,2,3,0,0,4,3
NC State,Atlantic,1,2,0,0,5,2
Louisville,Atlantic,2,3,0,0,4,3
North Carolina,Coastal,3,0,85.4,15.9,6,1
Pittsburgh,Coastal,1,2,6.9,1,4,3
Miami,Coastal,1,2,0.6,0,3,4
Duke,Coastal,2,2,3.4,0.4,5,3
Virginia,Coastal,1,3,1.7,0.1,3,4
Georgia Tech,Coastal,2,2,2,0.1,3,4
Boston College,Atlantic,1,4,0,0,2,5
Virginia Tech,Coastal,1,3,0,0,2,5
