Schools,App,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
North Carolina,39,,,QF,12,QF,SF,RU,QF,CH,RU,RU,SF,RU,RU,CH,CH,CH,QF,QF,RU,16,,16,QF,16,16,CH,16,CH,RU,RU,RU,SF,SF,RU,RU,SF,CH,CH,CH,16,CH
Penn State,35,,SF,QF,12,12,SF,12,QF,12,SF,SF,QF,SF,QF,QF,12,QF,QF,16,16,,RU,QF,,16,QF,RU,16,,16,QF,QF,16,QF,,16,QF,16,,,16,SF
Maryland,34,,,,,QF,,CH,12,,12,SF,QF,CH,,RU,QF,QF,QF,CH,SF,RU,QF,SF,SF,CH,CH,QF,CH,RU,CH,CH,SF,SF,QF,16,QF,RU,RU,QF,,SF,SF
Connecticut,32,CH,RU,RU,SF,CH,QF,,12,,12,,,,,,QF,QF,SF,SF,QF,,16,QF,16,QF,SF,SF,16,16,QF,SF,QF,CH,CH,SF,SF,CH,QF,QF,QF,,
Old Dominion,31,SF,CH,CH,CH,RU,QF,QF,CH,RU,CH,CH,CH,12,QF,QF,SF,RU,CH,QF,CH,QF,SF,QF,16,SF,16,16,,,QF,SF,QF,16,,,,,,,,,
Iowa,27,,QF,QF,RU,QF,CH,SF,RU,SF,SF,QF,RU,SF,SF,QF,QF,,,SF,,,,,16,,16,16,SF,,,16,16,,,,,,16,QF,SF,QF,QF
Virginia,26,,12,,QF,12,,12,,,,,12,,,12,QF,SF,SF,16,16,QF,,,,,QF,16,QF,SF,SF,,QF,16,,QF,QF,16,16,SF,,16,16
Massachusetts,26,RU,12,SF,12,12,12,SF,QF,QF,QF,12,SF,QF,,,12,12,12,QF,QF,16,,,,,,16,16,,16,,16,QF,,16,16,,,,,,
Princeton,25,,12,,,,,,,,,,,,12,QF,RU,SF,RU,,QF,SF,QF,16,,16,QF,,QF,SF,QF,16,CH,QF,16,QF,SF,QF,SF,RU,,,16
Michigan,19,,,,,,,,,,,,,,,,,,,RU,QF,CH,16,SF,QF,QF,,QF,,,16,QF,16,,,QF,16,SF,QF,16,RU,QF,16
Northwestern,18,,QF,SF,QF,SF,QF,QF,QF,SF,QF,12,,QF,SF,,,,,,,,,,,,,,,,,,,,16,,,QF,,16,QF,CH,SF
Stanford,18,,,,,12,12,12,,,12,12,,,,12,,,,,16,,,,,,,16,,16,16,16,16,,QF,16,16,•,,16,QF,,
Wake Forest,18,,,,,,,,,,,,,,,,,,,QF,SF,SF,CH,CH,CH,SF,RU,SF,RU,QF,16,,,QF,16,16,,16,SF,,,,16
Duke,18,,,,,,,,,,,,QF,,,,12,,,16,,,QF,RU,RU,RU,SF,16,QF,,,QF,,RU,QF,SF,QF,QF,QF,16,,,
Syracuse,16,,,,,,,,,,,,,QF,,12,,,,,,QF,,,,,,,SF,QF,QF,QF,SF,16,RU,CH,QF,16,,16,,QF,QF
Northeastern,16,,,,,,,,SF,QF,QF,QF,12,,12,SF,SF,12,12,,,16,QF,16,QF,,,,,,,16,16,,,,,,,,,,
Delaware,13,,SF,,,,,,12,,,,,,,,,,,,,,,,16,,,,,16,,,,16,•,16,CH,16,,16,12,16,16
Boston College,13,,,,,,,,,,,,,12,QF,,,12,QF,,,,,16,16,16,,,,16,,,,16,16,QF,16,,,SF,,,
Boston University,13,,,,,SF,,,,12,,QF,,,,,12,,,16,16,,,,,16,16,QF,,,,,,,16,16,,16,•,,,,
American,11,,,,,,,,,,,,,,,,,,,,,,,16,QF,QF,16,,16,16,16,,,16,,,16,,,•,,16,
Louisville,10,,,,,,,,,,,,,,,,,,,,,,,16,,,,,16,,,,,,16,16,16,16,,QF,SF,16,16
California,10,,QF,12,,,,,,,,,12,12,12,,,,,,,16,16,16,,16,16,,,,,,,,,,,,,,,,
New Hampshire,10,,,12,QF,QF,RU,12,,12,,,,,,,,,12,,16,,,,,,,,,,,16,,16,,,,,,,,,
James Madison,9,,,,,,,,,,,,,QF,CH,SF,,12,,16,,,16,,,,16,QF,16,,,,,,,,,,,,,,
Michigan State,9,,,,,,,,,,,,,,,,,,,,,QF,SF,QF,SF,,,16,QF,QF,16,,,QF,,,,,,,,,
Albany,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,16,,SF,16,,,16,,,,QF
Kent State,8,,,,,,,,,,,,,,,,,,12,16,16,16,16,,,,,,,,,,,,16,•,•,,,,,,
Richmond,8,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,,,16,,16,,,•,,,,,,,,
Miami (OH),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,•,,,,16,16,•,12,16,16
Harvard,7,,,,,,,,,,,12,,,,,,,,,16,,16,,16,,,,,,,,,,,,16,,QF,,,SF,
Ohio State,7,,,,,,,,,,,,,,12,,,,,,,16,,,,16,QF,,,16,SF,16,,,,,,,,,,,
Temple,6,,QF,QF,SF,,,,,,QF,QF,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,5,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,•,,•,,16,,•,
Penn,5,,,12,,,12,,SF,QF,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,•,16,,,,,,,RU,16
Rutgers,4,,,,QF,,QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,QF,
Saint Joseph's (PA),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,,16,QF
Ball State,4,,,,,,,,,,,,QF,,QF,12,,QF,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose State,4,QF,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monmouth,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,•,,•,,•,,,,
Ohio,3,,,,,,,,,,,,,,,,,,,,,16,,,,,,16,,,,16,,,,,,,,,,,
Providence,3,,,,,,,QF,,QF,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William & Mary,3,,,,,,,,,,,,,,,,,,,,16,,16,,,,,,,,,,,,,,,,16,,,,
Rider,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,•
West Chester,2,,,,,,12,QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,2,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,16,,,,,,,,,,
Pacific,2,,,,,,,,,12,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,
Indiana,2,,,,,,,,,,,,,,,,,,,,,,,,,QF,,,,16,,,,,,,,,,,,,
Drexel,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,,,16,,,,,,,,,,
Bucknell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,,
VCU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Maine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,•,
Lehigh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,•
Long Beach State,1,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,1,QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chico State,1,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,1,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
Quinnipiac,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,•,,,,,,,,,,
