Year,G,Date,Day,School,,Opponent,Conf,Result,Pts,Opp,Diff,W,L,T,Streak,Notes
2021,101,11/26/21,Fri,North Carolina,@,North Carolina State (24),ACC,L,30,34,-4,60,37,4,L 1,
2020,100,10/24/20,Sat,North Carolina (14),,North Carolina State (23),ACC,W,48,21,27,60,36,4,W 2,
2019,99,11/30/19,Sat,North Carolina,@,North Carolina State,ACC,W,41,10,31,59,36,4,W 1,"Carter-Finley Stadium - Raleigh, North Carolina"
2018,98,11/24/18,Sat,North Carolina,,North Carolina State,ACC,L,28,34,-6,58,36,4,L 3,"Kenan Memorial Stadium - Chapel Hill, North Carolina"
2017,97,11/25/17,Sat,North Carolina,@,North Carolina State,ACC,L,21,33,-12,58,35,4,L 2,"Carter-Finley Stadium - Raleigh, North Carolina"
2016,96,11/25/16,Fri,North Carolina,,North Carolina State,ACC,L,21,28,-7,58,34,4,L 1,"Kenan Memorial Stadium - Chapel Hill, North Carolina"
2015,95,11/28/15,Sat,North Carolina (11),@,North Carolina State,ACC,W,45,34,11,58,33,4,W 1,
2014,94,11/29/14,Sat,North Carolina,,North Carolina State,ACC,L,7,35,-28,57,33,4,L 1,
2013,93,11/2/13,Sat,North Carolina,@,North Carolina State,ACC,W,27,19,8,57,32,4,W 2,
2012,92,10/27/12,Sat,North Carolina,,North Carolina State,ACC,W,43,35,8,56,32,4,W 1,
2011,91,11/5/11,Sat,North Carolina,@,North Carolina State,ACC,L,0,13,-13,55,32,4,L 5,
2010,90,11/20/10,Sat,North Carolina,,North Carolina State,ACC,L,25,29,-4,55,31,4,L 4,
2009,89,11/28/09,Sat,North Carolina (23),@,North Carolina State,ACC,L,27,28,-1,55,30,4,L 3,
2008,88,11/22/08,Sat,North Carolina (25),,North Carolina State,ACC,L,10,41,-31,55,29,4,L 2,
2007,87,11/10/07,Sat,North Carolina,@,North Carolina State,ACC,L,27,31,-4,55,28,4,L 1,
2006,86,11/18/06,Sat,North Carolina,,North Carolina State,ACC,W,23,9,14,55,27,4,W 3,
2005,85,9/24/05,Sat,North Carolina,@,North Carolina State,ACC,W,31,24,7,54,27,4,W 2,
2004,84,10/9/04,Sat,North Carolina,,North Carolina State,ACC,W,30,24,6,53,27,4,W 1,
2003,83,9/27/03,Sat,North Carolina,@,North Carolina State,ACC,L,34,47,-13,52,27,4,L 2,
2002,82,10/12/02,Sat,North Carolina,,North Carolina State (14),ACC,L,17,34,-17,52,26,4,L 1,
2001,81,9/29/01,Sat,North Carolina,@,North Carolina State,ACC,W,17,9,8,52,25,4,W 1,
2000,80,10/14/00,Sat,North Carolina,,North Carolina State,ACC,L,20,38,-18,51,25,4,L 1,
1999,79,11/11/99,Thu,North Carolina,N,North Carolina State,ACC,W,10,6,4,51,24,4,W 7,
1998,78,11/28/98,Sat,North Carolina,N,North Carolina State,ACC,W,37,34,3,50,24,4,W 6,
1997,77,10/18/97,Sat,North Carolina (4),@,North Carolina State,ACC,W,20,7,13,49,24,4,W 5,
1996,76,11/2/96,Sat,North Carolina (8),,North Carolina State,ACC,W,52,20,32,48,24,4,W 4,
1995,75,11/24/95,Fri,North Carolina,@,North Carolina State,ACC,W,30,28,2,47,24,4,W 3,
1994,74,10/29/94,Sat,North Carolina (24),,North Carolina State,ACC,W,31,17,14,46,24,4,W 2,
1993,73,9/25/93,Sat,North Carolina (18),@,North Carolina State (19),ACC,W,35,14,21,45,24,4,W 1,
1992,72,9/26/92,Sat,North Carolina,,North Carolina State (23),ACC,L,20,27,-7,44,24,4,L 5,
1991,71,9/28/91,Sat,North Carolina (23),@,North Carolina State,ACC,L,7,24,-17,44,23,4,L 4,
1990,70,9/29/90,Sat,North Carolina,,North Carolina State,ACC,L,9,12,-3,44,22,4,L 3,
1989,69,9/23/89,Sat,North Carolina,@,North Carolina State (18),ACC,L,6,40,-34,44,21,4,L 2,
1988,68,10/15/88,Sat,North Carolina,,North Carolina State,ACC,L,3,48,-45,44,20,4,L 1,
1987,67,10/17/87,Sat,North Carolina,@,North Carolina State,ACC,W,17,14,3,44,19,4,W 1,
1986,66,10/18/86,Sat,North Carolina (18),,North Carolina State,ACC,L,34,35,-1,43,19,4,L 1,
1985,65,10/19/85,Sat,North Carolina,@,North Carolina State,ACC,W,21,14,7,43,18,4,W 7,
1984,64,10/20/84,Sat,North Carolina,,North Carolina State,ACC,W,28,21,7,42,18,4,W 6,
1983,63,10/15/83,Sat,North Carolina (3),@,North Carolina State,ACC,W,42,14,28,41,18,4,W 5,
1982,62,10/16/82,Sat,North Carolina (11),,North Carolina State,ACC,W,41,9,32,40,18,4,W 4,
1981,61,10/17/81,Sat,North Carolina (4),@,North Carolina State,ACC,W,21,10,11,39,18,4,W 3,
1980,60,10/18/80,Sat,North Carolina (8),,North Carolina State,ACC,W,28,8,20,38,18,4,W 2,
1979,59,10/20/79,Sat,North Carolina (19),@,North Carolina State (15),ACC,W,35,21,14,37,18,4,W 1,
1978,58,10/21/78,Sat,North Carolina,,North Carolina State,ACC,L,7,34,-27,36,18,4,L 1,
1977,57,10/15/77,Sat,North Carolina,@,North Carolina State,ACC,W,27,14,13,36,17,4,W 1,
1976,56,10/16/76,Sat,North Carolina,,North Carolina State,ACC,L,13,21,-8,35,17,4,L 2,
1975,55,10/18/75,Sat,North Carolina,@,North Carolina State,ACC,L,20,21,-1,35,16,4,L 1,
1974,54,10/19/74,Sat,North Carolina,,North Carolina State (10),ACC,W,33,14,19,35,15,4,W 1,
1973,53,10/6/73,Sat,North Carolina,@,North Carolina State,ACC,L,26,28,-2,34,15,4,L 1,
1972,52,9/23/72,Sat,North Carolina,,North Carolina State,ACC,W,34,33,1,34,14,4,W 3,
1971,51,10/2/71,Sat,North Carolina (20),@,North Carolina State,ACC,W,27,7,20,33,14,4,W 2,
1970,50,9/19/70,Sat,North Carolina,,North Carolina State,ACC,W,19,0,19,32,14,4,W 1,
1969,49,9/20/69,Sat,North Carolina,@,North Carolina State,ACC,L,3,10,-7,31,14,4,L 3,
1968,48,9/21/68,Sat,North Carolina,,North Carolina State,ACC,L,6,38,-32,31,13,4,L 2,
1967,47,9/16/67,Sat,North Carolina,@,North Carolina State,ACC,L,7,13,-6,31,12,4,L 1,
1966,46,9/24/66,Sat,North Carolina,,North Carolina State,ACC,W,10,7,3,31,11,4,W 2,
1965,45,10/9/65,Sat,North Carolina,@,North Carolina State,ACC,W,10,7,3,30,11,4,W 1,
1964,44,9/19/64,Sat,North Carolina,,North Carolina State,ACC,L,13,14,-1,29,11,4,L 1,
1963,43,10/19/63,Sat,North Carolina,,North Carolina State,ACC,W,31,10,21,29,10,4,W 1,
1962,42,9/22/62,Sat,North Carolina,,North Carolina State,ACC,L,6,7,-1,28,10,4,L 1,
1961,41,9/30/61,Sat,North Carolina,,North Carolina State,ACC,W,27,22,5,28,9,4,W 1,
1960,40,9/24/60,Sat,North Carolina,,North Carolina State,ACC,L,0,3,-3,27,9,4,L 1,
1959,39,10/3/59,Sat,North Carolina,,North Carolina State,ACC,W,20,12,8,27,8,4,W 1,
1958,38,9/20/58,Sat,North Carolina (10),,North Carolina State,ACC,L,14,21,-7,26,8,4,L 3,
1957,37,9/21/57,Sat,North Carolina,,North Carolina State,ACC,L,0,7,-7,26,7,4,L 2,
1956,36,9/22/56,Sat,North Carolina,,North Carolina State,ACC,L,6,26,-20,26,6,4,L 1,
1955,35,10/1/55,Sat,North Carolina,@,North Carolina State,ACC,W,25,18,7,26,5,4,W 9,
1954,34,9/25/54,Sat,North Carolina,,North Carolina State,ACC,W,20,6,14,25,5,4,W 8,
1953,33,9/26/53,Sat,North Carolina,,North Carolina State,ACC,W,29,7,22,24,5,4,W 7,
1952,32,9/22/51,Sat,North Carolina,,North Carolina State,Southern,W,21,0,21,23,5,4,W 6,
1951,31,9/23/50,Sat,North Carolina (20),,North Carolina State,Southern,W,13,7,6,22,5,4,W 5,
1950,30,9/24/49,Sat,North Carolina,,North Carolina State,Southern,W,26,6,20,21,5,4,W 4,
1949,29,10/16/48,Sat,North Carolina (1),,North Carolina State,Southern,W,14,0,14,20,5,4,W 3,
1948,28,11/8/47,Sat,North Carolina (18),,North Carolina State,Southern,W,41,6,35,19,5,4,W 2,
1947,27,10/30/43,Sat,North Carolina,,North Carolina State,Southern,W,27,13,14,18,5,4,W 1,
1946,26,10/31/42,Sat,North Carolina,@,North Carolina State,Southern,L,14,21,-7,17,5,4,L 2,
1945,25,11/1/41,Sat,North Carolina,,North Carolina State,Southern,L,7,13,-6,17,4,4,L 1,
1944,24,10/19/40,Sat,North Carolina,@,North Carolina State,Southern,W,13,7,6,17,3,4,W 6,
1943,23,11/4/39,Sat,North Carolina (9),,North Carolina State,Southern,W,17,0,17,16,3,4,W 5,
1942,22,10/1/38,Sat,North Carolina,@,North Carolina State,Southern,W,21,0,21,15,3,4,W 4,
1941,21,10/2/37,Sat,North Carolina,@,North Carolina State,Southern,W,20,0,20,14,3,4,W 3,
1940,20,10/31/36,Sat,North Carolina,,North Carolina State,Southern,W,21,6,15,13,3,4,W 2,
1939,19,11/2/35,Sat,North Carolina,@,North Carolina State,Southern,W,35,6,29,12,3,4,W 1,
1938,18,10/27/34,Sat,North Carolina,,North Carolina State,Southern,T,7,7,0,11,3,4,T 1,
