Date,Opponent,Location,Spread,ATS,Total,Pts,Opp,MOV,ATS Margin,Combined
12/3/22,Clemson,Neutral,7,L,64,10,39,-29,-22,49
11/25/22,NC State,Home,-6.5,L,56,27,30,-3,-9.5,57
11/19/22,GA Tech,Home,-21.5,L,63.5,17,21,-4,-25.5,38
11/12/22,Wake Forest,Away,4.5,W,79,36,34,2,6.5,70
11/5/22,Virginia,Away,-7,L,61.5,31,28,3,-4,59
10/29/22,Pittsburgh,Home,-2.5,W,65.5,42,24,18,15.5,66
10/15/22,Duke,Away,-7,L,70,38,35,3,-4,73
10/8/22,Miami (FL),Away,4,W,67.5,27,24,3,7,51
10/1/22,VA Tech,Home,-9.5,W,57,41,10,31,21.5,51
9/24/22,Notre Dame,Home,-2.5,L,55,32,45,-13,-15.5,77
9/10/22,Georgia State,Away,-7,W,64,35,28,7,0,63
9/3/22,App State,Away,3,W,56,63,61,2,5,124
12/30/21,S Carolina,Neutral,-12,L,57.5,21,38,-17,-29,59
11/26/21,NC State,Away,5,W,61.5,30,34,-4,1,64
11/11/21,Pittsburgh,Away,6.5,L,72,23,30,-7,-0.5,53
11/6/21,Wake Forest,Home,-2.5,W,78,58,55,3,0.5,113
10/30/21,Notre Dame,Away,3.5,L,62.5,34,44,-10,-6.5,78
10/16/21,Miami (FL),Home,-7.5,L,63.5,45,42,3,-4.5,87
10/9/21,Florida St,Home,-17.5,L,64.5,25,35,-10,-27.5,60
10/2/21,Duke,Home,-19.5,W,74,38,7,31,11.5,45
9/25/21,GA Tech,Neutral,-14.5,L,66,22,45,-23,-37.5,67
9/18/21,Virginia,Home,-7.5,W,66.5,59,39,20,12.5,98
9/11/21,Georgia State,Home,-26,W,65,59,17,42,16,76
9/3/21,VA Tech,Away,-5.5,L,63.5,10,17,-7,-12.5,27
1/2/21,Texas A&M,Neutral,7.5,L,65.5,27,41,-14,-6.5,68
12/12/20,Miami (FL),Away,3,W,72,62,26,36,39,88
11/27/20,Notre Dame,Home,4.5,L,69.5,17,31,-14,-9.5,48
11/14/20,Wake Forest,Home,-13,L,70.5,59,53,6,-7,112
11/7/20,Duke,Away,-11.5,W,63.5,56,24,32,20.5,80
10/31/20,Virginia,Away,-8,L,61,41,44,-3,-11,85
10/24/20,NC State,Home,-15,W,61.5,48,21,27,12,69
10/17/20,Florida St,Away,-13.5,L,64.5,28,31,-3,-16.5,59
10/10/20,VA Tech,Home,-3,W,58.5,56,45,11,8,101
10/3/20,Boston Col,Away,-14.5,L,52,26,22,4,-10.5,48
9/12/20,Syracuse,Home,-24,W,66.5,31,6,25,1,37
12/27/19,Temple,Neutral,-6,W,56,55,13,42,36,68
11/30/19,NC State,Away,-11,W,57.5,41,10,31,20,51
11/14/19,Pittsburgh,Away,4,L,48.5,27,34,-7,-3,61
11/2/19,Virginia,Home,1,L,48,31,38,-7,-6,69
10/26/19,Duke,Home,-3,W,53,20,17,3,0,37
10/19/19,VA Tech,Away,-4.5,L,57,41,43,-2,-6.5,84
10/5/19,GA Tech,Away,-10,W,47,38,22,16,6,60
9/28/19,Clemson,Home,27.5,W,60,20,21,-1,26.5,41
9/21/19,App State,Home,-2,L,58,31,34,-3,-5,65
9/13/19,Wake Forest,Away,3,L,65,18,24,-6,-3,42
9/7/19,Miami (FL),Home,5,W,46,28,25,3,8,53
8/31/19,S Carolina,Neutral,12.5,W,62,24,20,4,16.5,44
