team,total
Ohio State,10.5
Florida State,10
Penn State,9.5
Boise State,9
Notre Dame,9
Air Force,8.5
Kansas State,8.5
North Carolina,8.5
Western Kentucky,8.5
Coastal Carolina,8
Fresno State,8
Oregon State,8
South Alabama,8
James Madison,7.5
Miami FL,7.5
Ole Miss,7.5
Texas A&M,7.5
Texas Tech,7.5
Appalachian State,6.5
Eastern Michigan,6.5
Miami OH,6.5
Middle Tennessee,6.5
Mississippi State,6.5
North Texas,6.5
Northern Illinois,6.5
Oklahoma State,6.5
South Carolina,6.5
Washington State,6.5
Georgia Southern,6
Utah State,6
Wake Forest,6
Boston College,5.5
Central Michigan,5.5
East Carolina,5.5
Georgia State,5.5
Iowa State,5.5
Jacksonville State,5.5
Louisiana Tech,5.5
Michigan State,5.5
Arizona State,5
Bowling Green,5
Southern Miss,5
Virginia Tech,5
Arkansas State,4.5
Ball State,4.5
Colorado State,4.5
Georgia Tech,4.5
Texas State,4.5
West Virginia,4.5
New Mexico,4
Old Dominion,4
Sam Houston,4
South Florida,3.5
Western Michigan,3.5
Kent State,2.5
Georgia,11.5
Alabama,10.5
Michigan,10.5
Clemson,9.5
Liberty,9.5
LSU,9.5
Oklahoma,9.5
Oregon,9.5
Tennessee,9.5
Texas,9.5
Tulane,9.5
USC,9.5
Washington,9
Wisconsin,9
UCLA,8.5
Utah,8.5
Louisville,8
SMU,8
Troy,8
Baylor,7.5
Iowa,7.5
TCU,7.5
Arkansas,7
Marshall,7
Maryland,7
Ohio,7
Auburn,6.5
Duke,6.5
Illinois,6.5
Kansas,6.5
Kentucky,6.5
Louisiana-Lafayette,6.5
Minnesota,6.5
Missouri,6.5
Navy,6.5
Pittsburgh,6.5
Syracuse,6.5
UCF,6.5
Wyoming,6.5
Army,6
Nebraska,6
UNLV,6
BYU,5.5
Cincinnati,5.5
Florida,5.5
Purdue,5.5
Connecticut,5.5
UTEP,5.5
Arizona,5
California,5
Rice,5
Temple,5
UAB,5
Houston,4.5
Tulsa,4
Akron,3.5
Hawaii,3.5
Indiana,3.5
Northwestern,3.5
ULM,3.5
Vanderbilt,3.5
Virginia,3.5
Colorado,3
Nevada,3
Stanford,3
Charlotte,2.5
FIU,2.5
Massachusetts,1.5
San Diego State,7
NC State,6.5
San Jose State,5.5
New Mexico State,5
