"...1","team","color","alt_color","total"
"1","Air Force","#004a7b","#ffffff",8.5
"2","Akron","#00285e","#84754e",3.5
"3","Alabama","#690014","#f1f2f3",10.5
"4","Appalachian State","#000000","#ffcd00",6.5
"5","Arizona","#002449","#00205b",5
"6","Arizona State","#942139","#f1f2f3",5
"7","Arkansas","#9c1831","#000000",7
"8","Arkansas State","#e81018","#000000",4.5
"9","Army","#ce9c00","#231f20",6
"10","Auburn","#03244d","#f1f2f3",6.5
"11","Ball State","#DA0000","#ffffff",4.5
"12","Baylor","#004834","#ffb81c",7.5
"13","Boise State","#09347A","#d8d9da",9
"14","Boston College","#88001a","#a39161",5.5
"15","Bowling Green","#2b1000","#492000",5
"16","Buffalo","#041A9B","#ebebeb",6.5
"17","BYU","#001E4C","#ffffff",5.5
"18","California","#031522","#ffc423",5
"19","Central Michigan","#6a0032","#ffffff",5.5
"20","Charlotte","#0C562D","#cfab7a",2.5
"21","Cincinnati","#000000","#717073",5.5
"22","Clemson","#F66733","#522d80",9.5
"23","Coastal Carolina","#007073","#876447",8
"24","Colorado","#d1c57e","#ffd200",3
"25","Colorado State","#004537","#ffc425",4.5
"26","Connecticut","#001d40","#f1f2f3",5.5
"27","Duke","#001A57","#f1f2f3",6.5
"28","East Carolina","#4b1869","#f0907b",5.5
"29","Eastern Michigan","#00331b","#f0f0f0",6.5
"30","Florida","#0021A5","#0021a5",5.5
"31","Florida Atlantic","#004B85","#bb2f4c",7.5
"32","Florida International","#001538","#c5960c",2.5
"33","Florida State","#782F40","#ceb888",10
"34","Fresno State","#c41230","#231f20",8
"35","Georgia","#CC0000","#000000",11.5
"36","Georgia Southern","#003775","#f0f0f0",6
"37","Georgia State","#1e539a","#ebebeb",5.5
"38","Georgia Tech","#00223e","#002c56",4.5
"39","Hawai'i","#003420","#ffffff",3.5
"40","Houston","#C90822","#231f20",4.5
"41","Illinois","#f77329","#fa6300",6.5
"42","Indiana","#7D110C","#eeedeb",3.5
"43","Iowa","#000000","#ffe100",7.5
"44","Iowa State","#660015","#830b2c",5.5
"45","Jacksonville State","#b50500","#b5b7ba",5.5
"46","James Madison","#450084","#cbb778",7.5
"47","Kansas","#0022B4","#e8000d",6.5
"48","Kansas State","#633194","#e7d2ad",8.5
"49","Kent State","#002445","#f0b510",2.5
"50","Kentucky","#005DAA","#ffffff",6.5
"51","Liberty","#071740","#a61f21",9.5
"52","Louisiana Monroe","#231F20","#b18445",3.5
"53","Louisiana Tech","#002d65","#d3313a",5.5
"54","Louisville","#ad000a","#cccccc",8
"55","LSU","#22005c","#fdd023",9.5
"56","Marshall","#186329","#be854c",7
"57","Maryland","#D5002B","#ffcd00",7
"58","Memphis","#002447","#231f20",7.5
"59","Miami","#004325","#f0f0f0",7.5
"60","Miami (OH)","#a4000c","#f0f0f0",6.5
